2020Mar21-17:16:26 root DEBUG Hello world!
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:12.5% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
2020Mar21-17:20:14 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1538011136, percent=81.1, used=6597668864, free=1538011136) 
